timestamp,cycles,unroll,load_interleave,schedule,hash_interleave,block_group,gather_strategy,speedup
2026-01-22T23:50:10,3359,4,2,stagewise,"(0, 0, 3)",4,round_robin,43.98
2026-01-22T23:50:10,4831,8,3,stagewise,"(1, 1, 2)",3,by_buffer,30.58
2026-01-22T23:50:10,5791,8,2,stagewise,"(3, 0, 3)",2,by_buffer,25.51
2026-01-22T23:50:10,3599,4,1,stagewise,"(0, 0, 1)",4,by_buffer,41.05
2026-01-22T23:50:10,5087,5,1,stagewise,"(2, 3, 0)",4,round_robin,29.04
2026-01-22T23:50:10,5439,6,2,stagewise,"(0, 3, 3)",2,round_robin,27.16
2026-01-22T23:50:10,3486,8,3,stagewise,"(2, 0, 1)",8,round_robin,42.38
2026-01-22T23:50:10,5375,4,2,stagewise,"(2, 3, 0)",2,round_robin,27.49
2026-01-22T23:50:10,9967,7,2,stagewise,"(0, 2, 0)",1,by_buffer,14.82
2026-01-22T23:50:10,3551,6,1,stagewise,"(2, 3, 1)",6,by_buffer,41.60
2026-01-22T23:50:10,5791,8,2,stagewise,"(3, 3, 0)",2,round_robin,25.51
2026-01-22T23:50:10,5359,4,1,stagewise,"(2, 2, 2)",2,by_buffer,27.57
2026-01-22T23:50:10,10223,7,3,stagewise,"(0, 2, 0)",1,by_buffer,14.45
2026-01-22T23:50:10,3359,4,2,stagewise,"(0, 3, 0)",4,round_robin,43.98
2026-01-22T23:50:11,9791,6,2,stagewise,"(3, 2, 0)",1,round_robin,15.09
2026-01-22T23:50:11,6223,5,2,stagewise,"(1, 0, 0)",2,round_robin,23.74
2026-01-22T23:50:11,5791,8,2,stagewise,"(3, 2, 1)",2,round_robin,25.51
2026-01-22T23:50:11,5791,8,2,stagewise,"(3, 0, 1)",2,round_robin,25.51
2026-01-22T23:50:11,5327,7,3,stagewise,"(3, 2, 3)",3,round_robin,27.73
2026-01-22T23:50:11,3599,4,1,stagewise,"(2, 0, 2)",4,by_buffer,41.05
2026-01-22T23:50:11,10191,5,3,stagewise,"(1, 1, 2)",1,round_robin,14.50
2026-01-22T23:50:11,2847,6,2,stagewise,"(1, 1, 0)",6,by_buffer,51.89
2026-01-22T23:50:11,9759,5,2,stagewise,"(0, 2, 1)",1,round_robin,15.14
2026-01-22T23:50:11,4335,8,1,stagewise,"(0, 2, 3)",4,round_robin,34.08
2026-01-22T23:50:11,2847,6,2,stagewise,"(0, 3, 2)",6,by_buffer,51.89
2026-01-22T23:50:11,5023,8,1,stagewise,"(2, 3, 2)",3,round_robin,29.41
2026-01-22T23:50:11,4431,6,1,stagewise,"(1, 3, 0)",3,by_buffer,33.34
2026-01-22T23:50:11,6159,7,2,stagewise,"(2, 0, 2)",2,round_robin,23.99
2026-01-22T23:50:11,9727,4,2,stagewise,"(0, 3, 2)",1,round_robin,15.19
2026-01-22T23:50:11,5375,4,2,stagewise,"(2, 3, 2)",2,round_robin,27.49
2026-01-22T23:50:11,3679,5,3,stagewise,"(2, 0, 1)",5,round_robin,40.16
2026-01-22T23:50:11,3599,4,1,stagewise,"(3, 0, 3)",4,by_buffer,41.05
2026-01-22T23:50:11,5023,8,1,stagewise,"(0, 3, 2)",3,by_buffer,29.41
2026-01-22T23:50:11,4335,8,1,stagewise,"(0, 2, 2)",4,by_buffer,34.08
2026-01-22T23:50:11,4623,5,2,stagewise,"(0, 3, 1)",4,by_buffer,31.96
2026-01-22T23:50:11,3647,5,1,stagewise,"(1, 2, 3)",5,by_buffer,40.51
2026-01-22T23:50:11,3663,7,1,stagewise,"(0, 3, 2)",7,by_buffer,40.33
2026-01-22T23:50:11,5135,5,3,stagewise,"(3, 0, 0)",4,round_robin,28.77
2026-01-22T23:50:11,3198,8,2,stagewise,"(1, 3, 1)",8,round_robin,46.20
2026-01-22T23:50:11,9935,5,1,stagewise,"(1, 0, 3)",1,by_buffer,14.87
2026-01-22T23:50:11,5375,4,1,stagewise,"(0, 1, 3)",3,by_buffer,27.49
2026-01-22T23:50:12,10127,6,1,stagewise,"(2, 1, 0)",1,round_robin,14.59
2026-01-22T23:50:12,5775,6,1,stagewise,"(1, 3, 3)",2,round_robin,25.58
2026-01-22T23:50:12,10431,8,1,stagewise,"(0, 2, 1)",1,round_robin,14.16
2026-01-22T23:50:12,6415,7,3,stagewise,"(3, 2, 0)",2,by_buffer,23.03
